"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72660500386","2025-01-01","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  22.9","24","  16.3","24","9999.9"," 0","881.1","17"," 10.0","24","  4.9","24"," 14.0"," 19.0","  26.6","*","  17.6","*"," 0.00","I","999.9","000000"
"72660500386","2025-01-02","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  16.8","24","  13.7","24","9999.9"," 0","883.2","24"," 10.0","24","  4.3","24","  8.0","  9.9","  21.2","*","  10.4","*"," 0.00","I","999.9","000000"
"72660500386","2025-01-03","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  16.5","24","  15.1","24","9999.9"," 0","887.2","24","  7.0","24","  2.9","24","  8.9","999.9","  19.4","*","  12.2","*","99.99"," ","999.9","001000"
"72660500386","2025-01-04","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  11.1","24","   8.4","24","9999.9"," 0","881.5","24","  6.8","24","  5.0","24"," 15.0","999.9","  14.0","*","   5.0","*","99.99"," ","999.9","001000"
"72660500386","2025-01-05","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","   5.0","24","   1.2","24","9999.9"," 0","885.1","24","  5.4","24","  1.2","24","  6.0","999.9","  12.2","*","   1.4","*","99.99"," ","999.9","001000"
"72660500386","2025-01-06","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  13.5","24","  11.2","24","9999.9"," 0","885.9","24","  8.5","24","  2.3","24"," 11.1","999.9","  17.6","*","   6.8","*","99.99"," ","999.9","001000"
"72660500386","2025-01-07","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  12.6","24","   9.4","24","9999.9"," 0","891.8","24","  6.2","24","  6.6","24"," 11.1","999.9","  17.6","*","  10.4","*","99.99"," ","999.9","001000"
"72660500386","2025-01-08","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  26.7","24","  13.2","24","9999.9"," 0","885.1","24"," 10.0","24","  7.9","24"," 21.0"," 24.1","  42.8","*","  15.8","*","99.99"," ","999.9","001000"
"72660500386","2025-01-09","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  29.7","24","  25.9","24","9999.9"," 0","883.6","24","  7.2","24"," 16.8","24"," 22.9"," 33.0","  35.6","*","  24.8","*","99.99"," ","999.9","011000"
"72660500386","2025-01-10","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  29.7","24","  15.8","24","9999.9"," 0","881.5","24"," 10.0","24","  9.9","24"," 15.0"," 22.0","  39.2","*","  23.0","*"," 0.00","I","999.9","000000"
"72660500386","2025-01-11","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  36.4","24","  28.2","24","9999.9"," 0","868.3","24","  8.5","24"," 16.4","24"," 24.1"," 34.0","  46.4","*","  30.2","*","99.99"," ","999.9","011000"
"72660500386","2025-01-12","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  20.9","24","  17.0","24","9999.9"," 0","877.7","24","  8.1","24"," 14.1","24"," 21.0"," 29.9","  30.2","*","  12.2","*","99.99"," ","999.9","011000"
"72660500386","2025-01-13","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  22.3","24","  15.1","24","9999.9"," 0","881.4","24"," 10.0","24"," 13.0","24"," 24.1"," 27.0","  30.2","*","  12.2","*"," 0.00","I","999.9","000000"
"72660500386","2025-01-14","44.483","-103.783","1198.2","BLACK HILLS AIRPORT CLYDE ICE FIELD, SD US","  28.3","24","  21.7","24","9999.9"," 0","883.3","24","  7.8","24"," 11.4","24"," 18.1"," 25.1","  30.2","*","  26.6","*","99.99"," ","999.9","011000"
