5Year Mean TMAX,5Year Mean TMIN,5Year Mean PRCP,5Year Mean TAVG
22.76348095248549,11.088915757919782,48.02871389787914,16.926314348227873
25.385334090501182,14.089925572171584,60.45489854898293,19.737137367743465
27.008062668426145,15.355392812372878,47.399217928388325,21.18165225979092
28.65103309602269,17.582440337891008,100.74561399927865,23.117569824250772
30.697050947466927,19.911821588014348,104.21169625334669,25.304526696245226
32.34427459493703,22.88065339245717,203.40177370569612,27.613052352718654
33.114305931638796,23.90730217080643,199.64227486892193,28.511175368467455
33.22312056438689,24.212627961214977,198.33849128577768,28.7176332026953
31.902750044298934,22.91427275299123,194.10269340742016,27.40894094311634
29.71990255252623,20.307693840526774,105.94192006857388,25.01378095321586
25.947959695454394,16.20647478852192,107.03648538790917,21.07783809530078
23.5445996748524,12.96715324719774,81.72078634380081,18.255980046205188
